feature,importance
complaint_and_inactive,3783.850341796875
complaint_count,825.4602661132812
IsActiveMember,669.4732666015625
login_per_day_3m,213.2323760986328
txn_count_3m,137.80401611328125
NumOfProducts,131.47348022460938
Age,88.88311767578125
tenure_months,80.19293975830078
Gender_Male_True,76.07197570800781
txn_drop_ratio,68.32687377929688
login_drop_ratio,67.10767364501953
Gender_Male_False,62.78389358520508
spend_to_income,58.91563034057617
days_since_last_txn,57.69165802001953
txn_trend_pct,56.33908462524414
high_balance_low_txn,53.53657913208008
